id,dates,description,geo_lastlevel,html,json,keywords,periodicity,source,subtheme,theme,title,update_type,varcd
0007460,<last_period_available><![CDATA[S7A2013]]></last_period_available> <last_update><![CDATA[24-10-2014]]></last_update>,"Receitas em ambiente (€) dos municípios por Localização geográfica (NUTS - 2002), Classificador económico (Receitas) e Domínios de ambiente ; Anual - INE, Estatísticas dos municípios em ambiente - série longa",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007460/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007460/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007460&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007460&lang=PT]]></json_metainfo>,"INE,<![CDATA[Receitas]]>,<![CDATA[ambiente]]>,<![CDATA[longa]]>,<![CDATA[Ambiente]]>,<![CDATA[Proteção do ambiente",Anual,"INE, Estatísticas dos municípios em ambiente - série longa",Proteção do ambiente,Ambiente,Receitas em ambiente (€) dos municípios,D,0007460
0005538,<last_period_available><![CDATA[S7A2013]]></last_period_available> <last_update><![CDATA[23-10-2014]]></last_update>,"Despesas em ambiente dos municípios por habitante (€/ hab.) por Localização geográfica (NUTS - 2001) e Domínios de ambiente; Anual - INE, Estatísticas dos municípios em ambiente - série longa",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0005538/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0005538/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0005538&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0005538&lang=PT]]></json_metainfo>,"INE,<![CDATA[Despesas]]>,<![CDATA[ambiente]]>,<![CDATA[longa]]>,<![CDATA[Ambiente]]>,<![CDATA[Proteção do ambiente",Anual,"INE, Estatísticas dos municípios em ambiente - série longa",Proteção do ambiente,Ambiente,Despesas em ambiente dos municípios por habitante (€/ hab.),D,0005538
0002499,<last_period_available><![CDATA[S7A2013]]></last_period_available> <last_update><![CDATA[23-10-2014]]></last_update>,"Despesas em ambiente (€) dos municípios por Localização geográfica (NUTS - 2002), Classificador económico (Despesas) e Domínios de ambiente; Anual - INE, Estatísticas dos municípios em ambiente - série longa",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0002499/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0002499/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0002499&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0002499&lang=PT]]></json_metainfo>,"INE,<![CDATA[Despesas]]>,<![CDATA[ambiente]]>,<![CDATA[longa]]>,<![CDATA[Ambiente]]>,<![CDATA[Proteção do ambiente",Anual,"INE, Estatísticas dos municípios em ambiente - série longa",Proteção do ambiente,Ambiente,Despesas em ambiente (€) dos municípios,D,0002499
0007740,<last_period_available><![CDATA[S7A2013]]></last_period_available> <last_update><![CDATA[16-10-2014]]></last_update>,"Enfermeiras/os (N.º) por Local de trabalho (NUTS - 2001) e Sexo; Anual - INE, Estatísticas do pessoal de saúde",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007740/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007740/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007740&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007740&lang=PT]]></json_metainfo>,"INE,<![CDATA[Enfermeiras/os]]>,<![CDATA[por]]>,<![CDATA[saúde]]>,<![CDATA[Saúde]]>,<![CDATA[Pessoal de saúde",Anual,"INE, Estatísticas do pessoal de saúde",Pessoal de saúde,Saúde,Enfermeiras/os (N.º),D,0007740
0002922,<last_period_available><![CDATA[S7A2013]]></last_period_available> <last_update><![CDATA[16-10-2014]]></last_update>,"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2001); Anual - INE, Estatísticas do pessoal de saúde",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0002922/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0002922/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0002922&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0002922&lang=PT]]></json_metainfo>,"INE,<![CDATA[Enfermeiras/os]]>,<![CDATA[1000]]>,<![CDATA[saúde]]>,<![CDATA[Saúde]]>,<![CDATA[Pessoal de saúde",Anual,"INE, Estatísticas do pessoal de saúde",Pessoal de saúde,Saúde,Enfermeiras/os por 1000 habitantes (N.º),D,0002922
0007831,<last_period_available><![CDATA[S7A2060]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Índice de dependência de idosos (projeções 2012-2060 - N.º) por Local de residência (NUTS - 2013) e Cenário; Anual - INE, Projeções da população residente",NUTS II,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007831/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007831/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007831&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007831&lang=PT]]></json_metainfo>,"INE,<![CDATA[Índice]]>,<![CDATA[dependência]]>,<![CDATA[residente]]>,<![CDATA[População]]>,<![CDATA[Projeções de população",Anual,"INE, Projeções da população residente",Projeções de população,População,Índice de dependência de idosos (projeções 2012-2060 - N.º),D,0007831
0007832,<last_period_available><![CDATA[S7A2060]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Índice de dependência de jovens (projeções 2012-2060 - N.º) por Local de residência (NUTS - 2013) e Cenário; Anual - INE, Projeções da população residente",NUTS II,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007832/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007832/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007832&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007832&lang=PT]]></json_metainfo>,"INE,<![CDATA[Índice]]>,<![CDATA[dependência]]>,<![CDATA[residente]]>,<![CDATA[População]]>,<![CDATA[Projeções de população",Anual,"INE, Projeções da população residente",Projeções de população,População,Índice de dependência de jovens (projeções 2012-2060 - N.º),D,0007832
0002897,<last_period_available><![CDATA[S7A2011]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Taxa de ocupação das camas (%) nos estabelecimentos de saúde por Localização geográfica (NUTS - 2001); Anual - INE, Estatísticas dos estabelecimentos de saúde",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0002897/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0002897/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0002897&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0002897&lang=PT]]></json_metainfo>,"INE,<![CDATA[Taxa]]>,<![CDATA[ocupação]]>,<![CDATA[saúde]]>,<![CDATA[Saúde]]>,<![CDATA[Cuidados hospitalares",Anual,"INE, Estatísticas dos estabelecimentos de saúde",Cuidados hospitalares,Saúde,Taxa de ocupação das camas (%) nos estabelecimentos de saúde,D,0002897
0007830,<last_period_available><![CDATA[S7A2060]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Saldo migratório (projeções 2012-2060 - N.º) por Local de residência (NUTS - 2013) e Cenário; Anual - INE, Projeções da população residente",NUTS II,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007830/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007830/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007830&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007830&lang=PT]]></json_metainfo>,"INE,<![CDATA[Saldo]]>,<![CDATA[(projeções]]>,<![CDATA[residente]]>,<![CDATA[População]]>,<![CDATA[Projeções de população",Anual,"INE, Projeções da população residente",Projeções de população,População,Saldo migratório (projeções 2012-2060 - N.º),D,0007830
0007433,<last_period_available><![CDATA[S7A2012]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Pessoal ao serviço (N.º) nos hospitais oficiais públicos por Localização geográfica (NUTS - 2001) e Tipo de pessoal ao serviço; Anual - INE, Inquérito aos hospitais",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007433/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007433/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007433&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007433&lang=PT]]></json_metainfo>,"INE,<![CDATA[Pessoal]]>,<![CDATA[serviço]]>,<![CDATA[hospitais]]>,<![CDATA[Saúde]]>,<![CDATA[Cuidados hospitalares",Anual,"INE, Inquérito aos hospitais",Cuidados hospitalares,Saúde,Pessoal ao serviço (N.º) nos hospitais oficiais públicos,D,0007433
0007833,<last_period_available><![CDATA[S7A2060]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Índice de envelhecimento (projeções 2012-2060 - N.º) por Local de residência (NUTS - 2013) e Cenário; Anual - INE, Projeções da população residente",NUTS II,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007833/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007833/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007833&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007833&lang=PT]]></json_metainfo>,"INE,<![CDATA[Índice]]>,<![CDATA[envelhecimento]]>,<![CDATA[residente]]>,<![CDATA[População]]>,<![CDATA[Projeções de população",Anual,"INE, Projeções da população residente",Projeções de população,População,Índice de envelhecimento (projeções 2012-2060 - N.º),D,0007833
0007827,<last_period_available><![CDATA[S7A2060]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"População residente (projeções 2012-2060 - N.º) por Local de residência (NUTS - 2013), Sexo, Idade e Cenário; Anual - INE, Projeções da população residente",NUTS II,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007827/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007827/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007827&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007827&lang=PT]]></json_metainfo>,"INE,<![CDATA[População]]>,<![CDATA[(projeções]]>,<![CDATA[residente]]>,<![CDATA[População]]>,<![CDATA[Projeções de população",Anual,"INE, Projeções da população residente",Projeções de população,População,População residente (projeções 2012-2060 - N.º),D,0007827
0007834,<last_period_available><![CDATA[S7A2060]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Índice de sustentabilidade potencial (projeções 2012-2060 - N.º) por Local de residência (NUTS - 2013) e Cenário; Anual - INE, Projeções da população residente",NUTS II,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0007834/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0007834/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0007834&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0007834&lang=PT]]></json_metainfo>,"INE,<![CDATA[Índice]]>,<![CDATA[sustentabilidade]]>,<![CDATA[residente]]>,<![CDATA[População]]>,<![CDATA[Projeções de população",Anual,"INE, Projeções da população residente",Projeções de população,População,Índice de sustentabilidade potencial (projeções 2012-2060 - N.º),D,0007834
0000045,<last_period_available><![CDATA[S7A2012]]></last_period_available> <last_update><![CDATA[14-10-2014]]></last_update>,"Consultas médicas nos estabelecimentos de saúde por habitante (N.º) por Localização geográfica (NUTS - 2002); Anual - INE, Estatísticas dos estabelecimentos de saúde",Município,<bdd_url><![CDATA[https://www.ine.pt/xurl/indx/0000045/PT]]></bdd_url> <metainfo_url><![CDATA[https://www.ine.pt/xurl/metax/0000045/PT]]></metainfo_url>,<json_dataset><![CDATA[ https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0000045&lang=PT]]></json_dataset> <json_metainfo><![CDATA[ https://www.ine.pt/ine/json_indicador/pindicaMeta.jsp?varcd=0000045&lang=PT]]></json_metainfo>,"INE,<![CDATA[Consultas]]>,<![CDATA[nos]]>,<![CDATA[saúde]]>,<![CDATA[Saúde]]>,<![CDATA[Cuidados hospitalares",Anual,"INE, Estatísticas dos estabelecimentos de saúde",Cuidados hospitalares,Saúde,Consultas médicas nos estabelecimentos de saúde por habitante (N.º),D,0000045
