id,area,name_pt,name_en,status
2347,portugal,Saldo da balança de bens: total e por principais países parceiros comerciais,Goods balance total and by main trading partner countries,ok
2328,portugal,Saldo da balança de bens: total e por tipo,Goods balance total and by type,ok
2350,portugal,Saldo da balança de serviços: total e por principais países parceiros comerciais,Services balance total and by main trading partner countries,ok
2813,portugal,Saldo da balança de serviços: total e por tipo,Services balance total and by type,ok
3693,portugal,Saldo da balança dos principais produtos de origem florestal,Trade balance of major forestry products,ok
2370,portugal,Saldo das remessas de emigrantes e imigrantes: total e por principais países de origem / destino,Balance of remittances from emigrants and immigrants by main countries of origin destination,ok
917,portugal,Saldo processual na Provedoria de Justiça,Balance of proceedings at the ombudsman,ok
913,portugal,Saldo processual no Supremo Tribunal Administrativo,Balance of proceedings at the supreme administrative court,ok
684,portugal,Saldo processual no Supremo Tribunal de Justiça,Balance of proceedings at supreme court of justice,ok
916,portugal,Saldo processual no Tribunal Constitucional,Balance of proceedings at the constitutional court,ok
914,portugal,Saldo processual no Tribunal de Contas,Balance of proceedings at the state auditor’s office,ok
915,portugal,Saldo processual nos Tribunais da Relação,Balance of proceedings at the appellate courts,ok
665,portugal,Saldo processual nos Tribunais Judiciais,Balance of proceedings in courts of justice,ok
657,portugal,Saldos populacionais anuais: saldo migratório e natural,Annual population growth total natural and migratory,ok
938,portugal,SNS: camas nos hospitais - Continente,Nhs beds in hospitals mainland portugal,ok
641,portugal,SNS: camas nos hospitais por 100 mil habitantes - Continente,Nhs beds in hospitals per 100 thousand inhabitants mainland portugal,ok
159,portugal,SNS: urgências nos hospitais em Portugal,Nhs appointments admissions and emergencies in hospitals mainland portugal,ok
3409,portugal,"SNS: consultas, internamentos e urgências nos hospitais por mil habitantes - Continente",Nhs appointments admissions and emergencies in hospitals per thousand inhabitants mainland portugal,ok
330,portugal,SNS: despesa total e com pessoal ao serviço - Continente,Nhs total expenditure and on personnel employed mainland portugal,ok
830,portugal,SNS: despesa total per capita - Continente,Nhs total expenditure per capita mainland portugal,ok
327,portugal,SNS: encargos com medicamentos - Continente,Nhs spending on medicines mainland portugal,ok
158,portugal,Dados sobre os hospitais em Portugal,Nhs hospitals mainland portugal,ok
160,portugal,SNS: partos em estabelecimentos de saúde - Continente,Nhs childbirths in health establishments mainland portugal,ok
3322,portugal,SNS: pessoal ao serviço nos hospitais - Continente,Nhs personnel employed in hospitals mainland portugal,ok
3408,portugal,SNS: pessoal ao serviço nos hospitais por 100 mil habitantes - Continente,Nhs personnel employed in hospitals per 100 thousand inhabitants mainland portugal,ok
600,portugal,Dados sobre o SNS: receitas médicas em Portugal,Nhs medical prescriptions and prescribed medicines mainland portugal,ok
176,portugal,Sociedades constituídas por escritura pública: total e por setor de atividade económica principal,Corporations constituted by public deed total and by main sector of economic activity,ok
177,portugal,Sociedades dissolvidas por escritura pública: total e por setor de atividade económica principal,Dissolved corporations by public deed total and by main sector of economic activity,ok
3004,portugal,Sociedades não financeiras com 10 ou mais pessoas remuneradas de elevado crescimento: total e por dimensão,High growth non financial corporations with at least 10 employees total and by dimension,ok
3002,portugal,Sociedades não financeiras com 10 ou mais pessoas remuneradas: total e de elevado crescimento,High growth non financial corporations with at least 10 employees,ok
2960,portugal,Sociedades: total e por setor de atividade económica,Corporations total and by sector of economic activity,ok
246,portugal,Solicitadores: total e por sexo,Court officials responsible for executing sentences total and by sex,ok
2574,portugal,"Subscritores por pensões de reforma, aposentação e outras da Caixa Geral de Aposentações",Subscribers per retirement and other pensions of public administration retirement fund,ok
3342,portugal,Superfície agrícola utilizada: irrigável e regada (%),Utilized agricultural area irrigable and watered (percentage),ok
3460,portugal,Superfície agrícola utilizada na superfície total do país (%),Agricultural area used in the total area of the country (percentage),ok
3346,portugal,Superfície agrícola utilizada: total e por tipo de composição,Utilized agricultural area total and per type of composition,ok
3480,portugal,Superfície ardida ? Continente (%),Burnt area – mainland (percentage),ok
3365,portugal,Superfície das principais árvores de fruto e oliveiras,Surface area of the main fruit and olive trees,ok
3352,portugal,Superfície das principais culturas agrícolas,Main crops area,ok
3363,portugal,Superfície de vinha: total e para vinho,Surface of vineyard total and for wine,ok
3689,portugal,Superfície florestal por espécie - Continente,Forest area by specie mainland,ok
3382,portugal,Superfície: total e por tipo de utilização,Agricultural area total and by type of use,ok
871,portugal,"Supremo Tribunal Administrativo: processos entrados, findos e pendentes",Supreme administrative court initiated terminated proceedings and proceedings pending,ok
248,portugal,"Supremo Tribunal de Justiça: processos entrados, findos e pendentes por área processual",Supreme court of justice initiated terminated proceedings and proceedings pending by legal area,ok
832,portugal,Dados sobre os emigrantes portugueses,Gross emigration rate,ok
436,portugal,Taxa bruta de escolarização do sexo feminino por nível de ensino,Crude schooling rate of females by level of education,ok
435,portugal,Taxa bruta de escolarização do sexo masculino por nível de ensino,Crude schooling rate of males by level of education,ok
434,portugal,Taxa bruta de escolarização por nível de ensino,Crude schooling rate by level of education,ok
527,portugal,Dados sobre a taxa bruta de natalidade em Portugal,Crude birth rate,ok
433,portugal,Taxa de abandono escolar em Portugal,Early leavers from education and training rate total and by sex,ok
2208,portugal,"Taxa de abstenção nas eleições para a Assembleia da República: total, residentes em Portugal e residentes no estrangeiro",Abstention rate in the elections for the parliament total residents in portugal and residents abroad,ok
2255,portugal,Taxa de abstenção nas eleições para a Assembleia Legislativa da Região Autónoma da Madeira,Abstention rate in the elections for the legislative assembly of the autonomous region of madeira,ok
2256,portugal,Taxa de abstenção nas eleições para a Assembleia Legislativa da Região Autónoma dos Açores,Abstention rate in the elections for the legislative assembly of the autonomous region of the azores,ok
2207,portugal,"Taxa de abstenção nas eleições para a Presidência da República: total, residentes em Portugal e residentes no estrangeiro",Abstention rate in the elections for the presidency of the republic total residents in portugal and residents abroad,ok
2210,portugal,Taxa de abstenção em Portugal: Autárquicas,Abstention rate in the elections for the local authorities,ok
