id,area,name,fontes,ultima_atualizacao,url,removed,featured
1487,europa,"Indivíduos que acederam à Internet, em média, pelos menos uma vez por semana, em % do total de indivíduos: por condição perante o trabalho",Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-09,https://www.pordata.pt/europa/individuos+que+acederam+a+internet++em+media++pelos+menos+uma+vez+por+semana++em+percentagem+do+total+de+individuos+por+condicao+perante+o+trabalho-1487,,
1486,europa,"Indivíduos que acederam à Internet, em média, pelos menos uma vez por semana, em % do total de indivíduos: por grupo etário",Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-09,https://www.pordata.pt/europa/individuos+que+acederam+a+internet++em+media++pelos+menos+uma+vez+por+semana++em+percentagem+do+total+de+individuos+por+grupo+etario-1486,,
1488,europa,"Indivíduos que acederam à Internet, em média, pelos menos uma vez por semana, em % do total de indivíduos: por nível de escolaridade mais elevado completo",Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-15,https://www.pordata.pt/europa/individuos+que+acederam+a+internet++em+media++pelos+menos+uma+vez+por+semana++em+percentagem+do+total+de+individuos+por+nivel+de+escolaridade+mais+elevado+completo-1488,,
1489,europa,"Indivíduos que acederam à Internet, em média, pelos menos uma vez por semana, em % do total de indivíduos: por sexo",Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-09,https://www.pordata.pt/europa/individuos+que+acederam+a+internet++em+media++pelos+menos+uma+vez+por+semana++em+percentagem+do+total+de+individuos+por+sexo-1489,,
1492,europa,Indivíduos que utilizaram computador nos últimos 3 meses em % do total de indivíduos: por condição perante o trabalho,Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-05,https://www.pordata.pt/europa/individuos+que+utilizaram+computador+nos+ultimos+3+meses+em+percentagem+do+total+de+individuos+por+condicao+perante+o+trabalho+(2002+2017)-1492,,
1493,europa,Indivíduos que utilizaram computador nos últimos 3 meses em % do total de indivíduos: por grupo etário,Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-05,https://www.pordata.pt/europa/individuos+que+utilizaram+computador+nos+ultimos+3+meses+em+percentagem+do+total+de+individuos+por+grupo+etario+(2002+2017)-1493,,
1491,europa,Indivíduos que utilizaram computador nos últimos 3 meses em % do total de indivíduos: por nível de escolaridade completo mais elevado,Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-05,https://www.pordata.pt/europa/individuos+que+utilizaram+computador+nos+ultimos+3+meses+em+percentagem+do+total+de+individuos+por+nivel+de+escolaridade+completo+mais+elevado+(2002+2017)-1491,,
1490,europa,Indivíduos que utilizaram computador nos últimos 3 meses em % do total de indivíduos: por sexo,Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-05,https://www.pordata.pt/europa/individuos+que+utilizaram+computador+nos+ultimos+3+meses+em+percentagem+do+total+de+individuos+por+sexo+(2002+2017)-1490,,
3558,europa,"Insucesso na leitura, matemática e ciências",OCDE | PORDATA,2026-01-06,https://www.pordata.pt/europa/insucesso+na+leitura++matematica+e+ciencias-3558,,
3131,europa,Intensidade carbónica da economia,Eurostat | AEA | JRC | ETC/ACC | DG CLIMA | Institutos Nacionais de Estatística | PORDATA,2026-06-08,https://www.pordata.pt/europa/intensidade+carbonica+da+economia-3131,,
